versions	packages	classes	attrs	meths	pmeths
joda-time-0.95.jar	org.joda.time	ReadableInstant	1	17	17
joda-time-0.95.jar	org.joda.time	ReadableInterval	1	19	19
joda-time-0.95.jar	org.joda.time	ReadWritableDateTime	1	32	32
joda-time-0.95.jar	org.joda.time	ReadWritableDuration	1	23	23
joda-time-0.95.jar	org.joda.time	ReadWritableInstant	1	12	12
joda-time-0.95.jar	org.joda.time	ReadWritableInterval	1	8	8
joda-time-0.95.jar	org.joda.time	TimeOnly	1	38	36
joda-time-0.95.jar	org.joda.time.tz	CachedDateTimeZone$Info	2	4	3
joda-time-0.95.jar	org.joda.time.tz	CachedDateTimeZone	2	15	10
joda-time-0.95.jar	org.joda.time.tz	DateTimeZoneBuilder$DSTZone	2	11	8
joda-time-0.95.jar	org.joda.time.tz	DateTimeZoneBuilder$OfYear	2	11	5
joda-time-0.95.jar	org.joda.time.tz	DateTimeZoneBuilder$PrecalculatedZone	2	12	9
joda-time-0.95.jar	org.joda.time.tz	DateTimeZoneBuilder$Recurrence	2	9	7
joda-time-0.95.jar	org.joda.time.tz	DateTimeZoneBuilder$Rule	2	7	6
joda-time-0.95.jar	org.joda.time.tz	DateTimeZoneBuilder$RuleSet	2	12	9
joda-time-0.95.jar	org.joda.time.tz	DateTimeZoneBuilder$Transition	2	9	6
joda-time-0.95.jar	org.joda.time.tz	DateTimeZoneBuilder	2	15	10
joda-time-0.95.jar	org.joda.time.tz	DateTimeZonePermission	1	2	2
joda-time-0.95.jar	org.joda.time.tz	DefaultNameProvider	1	5	3
joda-time-0.95.jar	org.joda.time.tz	FixedDateTimeZone	1	9	9
joda-time-0.95.jar	org.joda.time.tz	NameProvider	1	2	2
joda-time-0.95.jar	org.joda.time.tz	Provider	1	2	2
joda-time-0.95.jar	org.joda.time.tz	UTCProvider	1	3	3
joda-time-0.95.jar	org.joda.time.tz	ZoneInfoCompiler$DateTimeOfYear	2	5	3
joda-time-0.95.jar	org.joda.time.tz	ZoneInfoCompiler$Rule	2	4	2
joda-time-0.95.jar	org.joda.time.tz	ZoneInfoCompiler$RuleSet	2	3	1
joda-time-0.95.jar	org.joda.time.tz	ZoneInfoCompiler$Zone	2	7	3
joda-time-0.95.jar	org.joda.time.tz	ZoneInfoCompiler	2	16	4
joda-time-0.95.jar	org.joda.time.tz	ZoneInfoProvider	1	10	5
joda-time-1.0.jar	org.joda.time	Chronology	1	68	68
joda-time-1.0.jar	org.joda.time	DateMidnight$Property	2	15	13
joda-time-1.0.jar	org.joda.time	DateMidnight	2	42	41
joda-time-1.0.jar	org.joda.time	DateTime$Property	2	15	13
joda-time-1.0.jar	org.joda.time	DateTime	2	56	56
joda-time-1.0.jar	org.joda.time	DateTimeComparator	1	14	11
joda-time-1.0.jar	org.joda.time	DateTimeConstants	1	1	0
joda-time-1.0.jar	org.joda.time	DateTimeField	1	51	51
joda-time-1.0.jar	org.joda.time	DateTimeFieldType$StandardDateTimeFieldType	2	5	3
joda-time-1.0.jar	org.joda.time	DateTimeFieldType	2	54	29
joda-time-1.0.jar	org.joda.time	DateTimeUtils$FixedMillisProvider	2	2	0
joda-time-1.0.jar	org.joda.time	DateTimeUtils$MillisProvider	2	2	0
joda-time-1.0.jar	org.joda.time	DateTimeUtils$OffsetMillisProvider	2	2	0
joda-time-1.0.jar	org.joda.time	DateTimeUtils$SystemMillisProvider	2	2	0
joda-time-1.0.jar	org.joda.time	DateTimeUtils	2	15	12
joda-time-1.0.jar	org.joda.time	DateTimeZone$1	2	5	4
joda-time-1.0.jar	org.joda.time	DateTimeZone$Stub	2	4	0
joda-time-1.0.jar	org.joda.time	DateTimeZone	2	42	30
joda-time-1.0.jar	org.joda.time	Duration	1	13	12
joda-time-1.0.jar	org.joda.time	DurationField	1	20	20
joda-time-1.0.jar	org.joda.time	DurationFieldType$StandardDurationFieldType	2	3	1
joda-time-1.0.jar	org.joda.time	DurationFieldType	2	18	16
joda-time-1.0.jar	org.joda.time	Instant	1	13	13
joda-time-1.0.jar	org.joda.time	Interval	1	19	19
joda-time-1.0.jar	org.joda.time	JodaTimePermission	1	1	1
joda-time-1.0.jar	org.joda.time	MutableDateTime$Property	2	15	13
joda-time-1.0.jar	org.joda.time	MutableDateTime	2	79	79
joda-time-1.0.jar	org.joda.time	MutableInterval	1	26	26
joda-time-1.0.jar	org.joda.time	MutablePeriod	1	70	70
joda-time-1.0.jar	org.joda.time	Period	1	68	67
joda-time-1.0.jar	org.joda.time	PeriodType	1	36	30
joda-time-1.0.jar	org.joda.time	ReadWritableDateTime	1	26	26
joda-time-1.0.jar	org.joda.time	ReadWritableInstant	1	12	12
joda-time-1.0.jar	org.joda.time	ReadWritableInterval	1	12	12
joda-time-1.0.jar	org.joda.time	ReadWritablePeriod	1	26	26
joda-time-1.0.jar	org.joda.time	ReadableDateTime	1	22	22
joda-time-1.0.jar	org.joda.time	ReadableDuration	1	10	10
joda-time-1.0.jar	org.joda.time	ReadableInstant	1	13	13
joda-time-1.0.jar	org.joda.time	ReadableInterval	1	21	21
joda-time-1.0.jar	org.joda.time	ReadablePartial	1	11	11
joda-time-1.0.jar	org.joda.time	ReadablePeriod	1	11	11
joda-time-1.0.jar	org.joda.time	TimeOfDay$Property	2	11	9
joda-time-1.0.jar	org.joda.time	TimeOfDay	2	39	35
joda-time-1.0.jar	org.joda.time	YearMonthDay$Property	2	10	8
joda-time-1.0.jar	org.joda.time	YearMonthDay	2	39	35
joda-time-1.0.jar	org.joda.time.base	AbstractDateTime	1	24	23
joda-time-1.0.jar	org.joda.time.base	AbstractDuration	1	11	10
joda-time-1.0.jar	org.joda.time.base	AbstractInstant	1	30	29
joda-time-1.0.jar	org.joda.time.base	AbstractInterval	1	29	27
joda-time-1.0.jar	org.joda.time.base	AbstractPartial	1	19	14
joda-time-1.0.jar	org.joda.time.base	AbstractPeriod	1	15	14
joda-time-1.0.jar	org.joda.time.base	BaseDateTime	1	17	13
joda-time-1.0.jar	org.joda.time.base	BaseDuration	1	15	10
joda-time-1.0.jar	org.joda.time.base	BaseInterval	1	11	3
joda-time-1.0.jar	org.joda.time.base	BasePartial	1	15	5
joda-time-1.0.jar	org.joda.time.base	BasePeriod	1	30	6
joda-time-1.0.jar	org.joda.time.chrono	AssembledChronology$Fields	2	4	1
joda-time-1.0.jar	org.joda.time.chrono	AssembledChronology	2	45	39
joda-time-1.0.jar	org.joda.time.chrono	BaseChronology	1	50	49
joda-time-1.0.jar	org.joda.time.chrono	BaseGJChronology$HalfdayField	2	4	3
joda-time-1.0.jar	org.joda.time.chrono	BaseGJChronology$YearInfo	2	1	0
joda-time-1.0.jar	org.joda.time.chrono	BaseGJChronology	2	43	5
joda-time-1.0.jar	org.joda.time.chrono	BuddhistChronology	2	10	6
joda-time-1.0.jar	org.joda.time.chrono	CopticChronology	2	18	6
